ID,startBin#,endBin#,width(bins),totalSpikeCount,peakBin,peakHeight(spikes),Interval(bins)
802,1884751,1884774,24,103126,1884764,7283,1776
803,1888338,1888361,24,103181,1888351,7291,3587
804,1891041,1891063,23,104175,1891053,7607,2702
805,1891363,1891386,24,102596,1891376,7312,323
806,1894023,1894045,23,104169,1894035,7519,2659
807,1894399,1894422,24,102943,1894411,7332,376
808,1896344,1896366,23,104246,1896356,7574,1945
809,1896906,1896928,23,103997,1896918,7544,562
810,1897643,1897665,23,104178,1897655,7592,737
811,1898128,1898150,23,103737,1898140,7512,485
812,1899461,1899484,24,104321,1899474,7503,1334
813,1900451,1900473,23,104206,1900463,7515,989
814,1900744,1900767,24,102229,1900757,7160,294
815,1901155,1901177,23,103128,1901167,7364,410
816,1901468,1901491,24,102523,1901481,7225,314
817,1902356,1902378,23,104115,1902368,7588,887
818,1903419,1903441,23,104135,1903431,7552,1063
819,1903985,1904008,24,103958,1903998,7473,567
820,1905205,1905228,24,104233,1905218,7576,1220
821,1906162,1906184,23,104199,1906174,7602,956
822,1906937,1906960,24,104194,1906950,7553,776
823,1909056,1909079,24,104211,1909069,7544,2119
824,1909939,1909961,23,104164,1909951,7505,882
825,1910367,1910390,24,102760,1910379,7260,428
826,1911567,1911590,24,103093,1911580,7400,1201
827,1911968,1911991,24,102680,1911981,7196,401
828,1912464,1912486,23,102837,1912476,7354,495
829,1913352,1913375,24,103086,1913365,7345,889
830,1916217,1916240,24,103028,1916230,7308,2865
831,1916508,1916532,25,101102,1916522,6994,292
832,1917504,1917527,24,103037,1917517,7388,995
833,1917757,1917781,25,97849,1917770,6723,253
834,1919589,1919612,24,103079,1919602,7399,1832
835,1921130,1921153,24,102541,1921143,7219,1541
836,1921526,1921549,24,102527,1921538,7199,395
837,1923177,1923200,24,102508,1923190,7307,1652
838,1926250,1926272,23,102479,1926262,7316,3072
839,1926674,1926697,24,102562,1926687,7200,425
840,1927165,1927188,24,102566,1927178,7285,491
841,1927643,1927666,24,102569,1927656,7256,478
842,1927963,1927986,24,101840,1927976,7078,320
843,1929303,1929326,24,102535,1929316,7322,1340
844,1929888,1929910,23,102459,1929900,7274,584
845,1931164,1931187,24,102129,1931177,7156,1277
846,1931572,1931595,24,102330,1931585,7199,408
847,1931989,1932012,24,102270,1932001,7130,416
848,1932494,1932517,24,102136,1932507,7170,506
849,1933074,1933097,24,102127,1933086,7140,579
850,1933347,1933371,25,98179,1933360,6741,274
851,1937751,1937774,24,102139,1937763,7193,4403
852,1938151,1938174,24,102288,1938164,7098,401
853,1938470,1938493,24,101337,1938483,7016,319
854,1939109,1939133,25,102151,1939122,7188,639
855,1939932,1939955,24,102155,1939945,7268,823
856,1941842,1941865,24,101800,1941855,7166,1910
